Count : 93
+------------------------------------+------------------+-----------+------------------+----------+
| Name                               | Elapsed          | CallCount | TimePerCall      | Percent  |
+------------------------------------+------------------+-----------+------------------+----------+
| IQueryProvider.Execute<T>          | 00:00:51.1926986 |      6431 | 00:00:00.0079603 |    4.55% |

| IQueryProvider.GetEnumerator<T>    | 00:02:31.9389538 |     14958 | 00:00:00.0101577 |   13.50% |
| IQueryProvider.GetEnumerator       | 00:00:00.2515482 |        70 | 00:00:00.0035935 |    0.02% |
|   GetQuery                         | 00:00:40.4884853 |     25458 | 00:00:00.0015904 |    3.60% |
|     Find                           | 00:00:04.8231097 |     25458 | 00:00:00.0001894 |    0.43% |
|       Expose                       | 00:00:03.0715584 |     25458 | 00:00:00.0001206 |    0.27% |

|       Find                         | 00:00:01.7091691 |     25458 | 00:00:00.0000671 |    0.15% |
|     Create                         | 00:00:35.6478918 |      9018 | 00:00:00.0039529 |    3.17% |
|       Build                        | 00:00:32.1987912 |      9278 | 00:00:00.0034704 |    2.86% |
|         BuildSequence              | 00:00:50.5988522 |     46868 | 00:00:00.0010796 |    4.50% |
|           CanBuild                 | 00:00:00.4811410 |    330509 | 00:00:00.0000014 |    0.04% |

|           Build                    | 00:00:49.9908233 |     46866 | 00:00:00.0010666 |    4.44% |
|         ReorderBuilders            | 00:00:00.2143567 |      8831 | 00:00:00.0000242 |    0.02% |
|         BuildQuery                 | 00:00:12.5028247 |      9246 | 00:00:00.0013522 |    1.11% |
|           FinalizeQuery            | 00:00:04.8210178 |     18492 | 00:00:00.0002607 |    0.43% |
|   GetIEnumerable                   | 00:00:00.0841068 |     16738 | 00:00:00.0000050 |    0.01% |

| Execute                            | 00:07:07.9566995 |     65883 | 00:00:00.0064957 |   38.03% |
|   Execute Query                    | 00:03:25.2104080 |     16738 | 00:00:00.0122601 |   18.24% |
|   Execute Query Async              | 00:00:05.0283726 |      4239 | 00:00:00.0011862 |    0.45% |
|   Execute Element                  | 00:00:04.5766897 |      1134 | 00:00:00.0040358 |    0.41% |
|   Execute Element Async            | 00:00:00.4539858 |        82 | 00:00:00.0055364 |    0.04% |

|   Execute Scalar                   | 00:00:00.6013802 |       335 | 00:00:00.0017951 |    0.05% |
|   Execute Scalar Async             | 00:00:00.0644695 |        12 | 00:00:00.0053724 |    0.01% |
|   Execute NonQuery                 | 00:01:41.8008457 |     21313 | 00:00:00.0047764 |    9.05% |
|   Execute NonQuery Async           | 00:00:02.2265340 |       346 | 00:00:00.0064350 |    0.20% |
|   Execute NonQuery Alternative     | 00:00:00.0021452 |         2 | 00:00:00.0010726 |    0.00% |

|   CreateTable                      | 00:00:14.7271166 |      2842 | 00:00:00.0051819 |    1.31% |
|   CreateTable Async                | 00:00:00.1608073 |        39 | 00:00:00.0041232 |    0.01% |
|   DropTable                        | 00:00:21.6161101 |      5578 | 00:00:00.0038752 |    1.92% |
|   DropTable Async                  | 00:00:00.1549154 |        51 | 00:00:00.0030375 |    0.01% |
|   Delete Object                    | 00:00:00.1638476 |        30 | 00:00:00.0054615 |    0.01% |

|   Delete Object Async              | 00:00:00.0136628 |         4 | 00:00:00.0034157 |    0.00% |
