Count : 90
+------------------------------------+------------------+-----------+------------------+----------+
| Name                               | Elapsed          | CallCount | TimePerCall      | Percent  |
+------------------------------------+------------------+-----------+------------------+----------+
| IQueryProvider.Execute<T>          | 00:01:54.0399496 |     15760 | 00:00:00.0072360 |    3.22% |
| IQueryProvider.GetEnumerator<T>    | 00:07:02.2367150 |     43839 | 00:00:00.0096315 |   11.92% |
| IQueryProvider.GetEnumerator       | 00:00:00.2818245 |       104 | 00:00:00.0027098 |    0.01% |
|   GetQuery                         | 00:03:55.9996194 |     69518 | 00:00:00.0033947 |    6.66% |
|     Find                           | 00:00:20.2165723 |     69518 | 00:00:00.0002908 |    0.57% |
|       Expose                       | 00:00:01.3482625 |     69518 | 00:00:00.0000193 |    0.04% |
|       Find                         | 00:00:02.4341591 |     76434 | 00:00:00.0000318 |    0.07% |
|     Create                         | 00:03:34.9448717 |     27672 | 00:00:00.0077675 |    6.07% |
|       Build                        | 00:03:33.4480341 |     27884 | 00:00:00.0076548 |    6.03% |
|         BuildSequence              | 00:04:14.5388003 |    343122 | 00:00:00.0007418 |    7.19% |
|           Build                    | 00:04:09.5436812 |    282476 | 00:00:00.0008834 |    7.05% |
|         BuildQuery                 | 00:03:02.6841066 |     27744 | 00:00:00.0065846 |    5.16% |
|           FinalizeQuery            | 00:01:43.8234933 |     66338 | 00:00:00.0015650 |    2.93% |
|   GetIEnumerable                   | 00:00:00.2422198 |     58029 | 00:00:00.0000041 |    0.01% |
| Execute                            | 00:16:57.3324739 |    227582 | 00:00:00.0044701 |   28.72% |
|   Execute Query                    | 00:09:10.0083747 |     49068 | 00:00:00.0112091 |   15.53% |
|   Execute Query Async              | 00:00:07.1944327 |      8647 | 00:00:00.0008320 |    0.20% |
|   Execute Element                  | 00:00:09.4682880 |      2764 | 00:00:00.0034255 |    0.27% |
|   Execute Element Async            | 00:00:00.4788713 |       172 | 00:00:00.0027841 |    0.01% |
|   Execute Scalar                   | 00:00:01.0157638 |       670 | 00:00:00.0015160 |    0.03% |
|   Execute Scalar Async             | 00:00:00.0577836 |        24 | 00:00:00.0024076 |    0.00% |
|   Execute NonQuery                 | 00:03:26.5281494 |     80238 | 00:00:00.0025739 |    5.83% |
|   Execute NonQuery Async           | 00:00:02.3347606 |       887 | 00:00:00.0026321 |    0.07% |
|   CreateTable                      | 00:00:33.6953956 |     11843 | 00:00:00.0028451 |    0.95% |
