Count : 93
+------------------------------------+------------------+-----------+------------------+----------+
| Name                               | Elapsed          | CallCount | TimePerCall      | Percent  |
|   GetSqlText                       | 00:00:13.9322545 |       978 | 00:00:00.0142456 |    0.25% |
| Interceptors                       | 00:00:00.1184837 |     16510 | 00:00:00.0000071 |    0.00% |
|   CommandInterceptor               | 00:00:00.0678151 |      8776 | 00:00:00.0000077 |    0.00% |
|     CommandInitialized             | 00:00:00.0183126 |      2498 | 00:00:00.0000073 |    0.00% |
|     ExecuteScalar                  | 00:00:00.0183308 |      1846 | 00:00:00.0000099 |    0.00% |
|     ExecuteNonQuery                | 00:00:00.0009564 |       566 | 00:00:00.0000016 |    0.00% |
|     ExecuteReader                  | 00:00:00.0232994 |        38 | 00:00:00.0006131 |    0.00% |
|     ExecuteReaderAsync             | 00:00:00.0000111 |        20 | 00:00:00.0000005 |    0.00% |
|     AfterExecuteReader             | 00:00:00.0018053 |      1904 | 00:00:00.0000009 |    0.00% |
|     BeforeReaderDispose            | 00:00:00.0013898 |      1866 | 00:00:00.0000007 |    0.00% |
|     BeforeReaderDisposeAsync       | 00:00:00.0037097 |        38 | 00:00:00.0000976 |    0.00% |
|   ConnectionInterceptor            | 00:00:00.0188623 |      1868 | 00:00:00.0000100 |    0.00% |
|     ConnectionOpening              | 00:00:00.0084660 |       444 | 00:00:00.0000190 |    0.00% |
|     ConnectionOpeningAsync         | 00:00:00.0046909 |       490 | 00:00:00.0000095 |    0.00% |
|     ConnectionOpened               | 00:00:00.0012741 |       444 | 00:00:00.0000028 |    0.00% |
|     ConnectionOpenedAsync          | 00:00:00.0044313 |       490 | 00:00:00.0000090 |    0.00% |
|   DataContextInterceptor           | 00:00:00.0129445 |      5184 | 00:00:00.0000024 |    0.00% |
|     OnClosing                      | 00:00:00.0027045 |      2320 | 00:00:00.0000011 |    0.00% |
|     OnClosingAsync                 | 00:00:00.0040109 |       272 | 00:00:00.0000147 |    0.00% |
|     OnClosed                       | 00:00:00.0043745 |      2320 | 00:00:00.0000018 |    0.00% |
|     OnClosedAsync                  | 00:00:00.0018546 |       272 | 00:00:00.0000068 |    0.00% |
|   EntityServiceInterceptor         | 00:00:00.0183889 |        72 | 00:00:00.0002554 |    0.00% |
|     EntityCreated                  | 00:00:00.0183889 |        72 | 00:00:00.0002554 |    0.00% |
|   UnwrapDataObjectInterceptor      | 00:00:00.0004729 |       610 | 00:00:00.0000007 |    0.00% |
|     UnwrapConnection               | 00:00:00.0001505 |        24 | 00:00:00.0000062 |    0.00% |
|     UnwrapTransaction              | 00:00:00.0000964 |        12 | 00:00:00.0000080 |    0.00% |
|     UnwrapDataReader               | 00:00:00.0002260 |       574 | 00:00:00.0000003 |    0.00% |
| Total                              | 01:33:53.7980464 |  12646768 | 00:00:00.0004454 |  100.00% |
+------------------------------------+------------------+-----------+------------------+----------+

