Count : 90
+------------------------------------+------------------+-----------+------------------+----------+
| Name                               | Elapsed          | CallCount | TimePerCall      | Percent  |
|   CommandInterceptor               | 00:00:00.0332335 |      7864 | 00:00:00.0000042 |    0.00% |
|     CommandInitialized             | 00:00:00.0174169 |      2106 | 00:00:00.0000082 |    0.00% |
|     ExecuteNonQuery                | 00:00:00.0003240 |       244 | 00:00:00.0000013 |    0.00% |
|     ExecuteReader                  | 00:00:00.0093119 |      1836 | 00:00:00.0000050 |    0.00% |
|     ExecuteReaderAsync             | 00:00:00.0013194 |         2 | 00:00:00.0006597 |    0.00% |
|     AfterExecuteReader             | 00:00:00.0030691 |      1838 | 00:00:00.0000016 |    0.00% |
|     BeforeReaderDispose            | 00:00:00.0014790 |      1836 | 00:00:00.0000008 |    0.00% |
|     BeforeReaderDisposeAsync       | 00:00:00.0003132 |         2 | 00:00:00.0001566 |    0.00% |
|   ConnectionInterceptor            | 00:00:00.0095157 |        76 | 00:00:00.0001252 |    0.00% |
|     ConnectionOpening              | 00:00:00.0026304 |        22 | 00:00:00.0001195 |    0.00% |
|     ConnectionOpeningAsync         | 00:00:00.0032588 |        16 | 00:00:00.0002036 |    0.00% |
|     ConnectionOpened               | 00:00:00.0007921 |        22 | 00:00:00.0000360 |    0.00% |
|     ConnectionOpenedAsync          | 00:00:00.0028344 |        16 | 00:00:00.0001771 |    0.00% |
|   DataContextInterceptor           | 00:00:00.0072957 |       584 | 00:00:00.0000124 |    0.00% |
|     OnClosing                      | 00:00:00.0015897 |       208 | 00:00:00.0000076 |    0.00% |
|     OnClosingAsync                 | 00:00:00.0026898 |        84 | 00:00:00.0000320 |    0.00% |
|     OnClosed                       | 00:00:00.0012554 |       208 | 00:00:00.0000060 |    0.00% |
|     OnClosedAsync                  | 00:00:00.0017608 |        84 | 00:00:00.0000209 |    0.00% |
|   EntityServiceInterceptor         | 00:00:00.0120849 |       102 | 00:00:00.0001184 |    0.00% |
|     EntityCreated                  | 00:00:00.0120849 |       102 | 00:00:00.0001184 |    0.00% |
|   UnwrapDataObjectInterceptor      | 00:00:00.0009800 |       610 | 00:00:00.0000016 |    0.00% |
|     UnwrapConnection               | 00:00:00.0003620 |        24 | 00:00:00.0000150 |    0.00% |
|     UnwrapTransaction              | 00:00:00.0002908 |        12 | 00:00:00.0000242 |    0.00% |
|     UnwrapDataReader               | 00:00:00.0003272 |       574 | 00:00:00.0000005 |    0.00% |
| Total                              | 00:28:08.3894818 |  10196418 | 00:00:00.0001655 |  100.00% |
+------------------------------------+------------------+-----------+------------------+----------+

