Count : 90
+------------------------------------+------------------+-----------+------------------+----------+
| Name                               | Elapsed          | CallCount | TimePerCall      | Percent  |
|     CommandInitialized             | 00:00:00.0315298 |      2174 | 00:00:00.0000145 |    0.00% |
|     ExecuteScalar                  | 00:00:00.0176548 |      1830 | 00:00:00.0000096 |    0.00% |
|     ExecuteNonQuery                | 00:00:00.0003611 |       270 | 00:00:00.0000013 |    0.00% |
|     ExecuteReader                  | 00:00:00.0052656 |        30 | 00:00:00.0001755 |    0.00% |
|     ExecuteReaderAsync             | 00:00:00.0000409 |        20 | 00:00:00.0000020 |    0.00% |
|     AfterExecuteReader             | 00:00:00.0026319 |      1880 | 00:00:00.0000013 |    0.00% |
|     BeforeReaderDispose            | 00:00:00.0026945 |      1850 | 00:00:00.0000014 |    0.00% |
|     BeforeReaderDisposeAsync       | 00:00:00.0029076 |        30 | 00:00:00.0000969 |    0.00% |
|   ConnectionInterceptor            | 00:00:00.0084976 |        28 | 00:00:00.0003034 |    0.00% |
|     ConnectionOpening              | 00:00:00.0014815 |         8 | 00:00:00.0001851 |    0.00% |
|     ConnectionOpeningAsync         | 00:00:00.0031640 |         6 | 00:00:00.0005273 |    0.00% |
|     ConnectionOpened               | 00:00:00.0004659 |         8 | 00:00:00.0000582 |    0.00% |
|     ConnectionOpenedAsync          | 00:00:00.0033862 |         6 | 00:00:00.0005643 |    0.00% |
|   DataContextInterceptor           | 00:00:00.0069018 |       528 | 00:00:00.0000130 |    0.00% |
|     OnClosing                      | 00:00:00.0015641 |       192 | 00:00:00.0000081 |    0.00% |
|     OnClosingAsync                 | 00:00:00.0022770 |        72 | 00:00:00.0000316 |    0.00% |
|     OnClosed                       | 00:00:00.0012117 |       192 | 00:00:00.0000063 |    0.00% |
|     OnClosedAsync                  | 00:00:00.0018490 |        72 | 00:00:00.0000256 |    0.00% |
|   EntityServiceInterceptor         | 00:00:00.0142316 |        72 | 00:00:00.0001976 |    0.00% |
|     EntityCreated                  | 00:00:00.0142316 |        72 | 00:00:00.0001976 |    0.00% |
|   UnwrapDataObjectInterceptor      | 00:00:00.0005950 |       610 | 00:00:00.0000009 |    0.00% |
|     UnwrapConnection               | 00:00:00.0001733 |        24 | 00:00:00.0000072 |    0.00% |
|     UnwrapTransaction              | 00:00:00.0001023 |        12 | 00:00:00.0000085 |    0.00% |
|     UnwrapDataReader               | 00:00:00.0003194 |       574 | 00:00:00.0000005 |    0.00% |
| Total                              | 00:56:16.3324934 |  11957920 | 00:00:00.0002823 |  100.00% |
+------------------------------------+------------------+-----------+------------------+----------+

