Count : 90
+------------------------------------+------------------+-----------+------------------+----------+
| Name                               | Elapsed          | CallCount | TimePerCall      | Percent  |
|     CommandInitialized             | 00:00:00.0167769 |      2534 | 00:00:00.0000066 |    0.00% |
|     ExecuteScalar                  | 00:00:00.0364452 |      1878 | 00:00:00.0000194 |    0.00% |
|     ExecuteNonQuery                | 00:00:00.0258476 |       566 | 00:00:00.0000456 |    0.00% |
|     ExecuteReader                  | 00:00:00.0409417 |        38 | 00:00:00.0010774 |    0.00% |
|     ExecuteReaderAsync             | 00:00:00.0000281 |        20 | 00:00:00.0000014 |    0.00% |
|     AfterExecuteReader             | 00:00:00.0017491 |      1936 | 00:00:00.0000009 |    0.00% |
|     BeforeReaderDispose            | 00:00:00.0013170 |      1898 | 00:00:00.0000006 |    0.00% |
|     BeforeReaderDisposeAsync       | 00:00:00.0025257 |        38 | 00:00:00.0000664 |    0.00% |
|   ConnectionInterceptor            | 00:00:00.0147152 |      1868 | 00:00:00.0000078 |    0.00% |
|     ConnectionOpening              | 00:00:00.0016803 |       444 | 00:00:00.0000037 |    0.00% |
|     ConnectionOpeningAsync         | 00:00:00.0062553 |       490 | 00:00:00.0000127 |    0.00% |
|     ConnectionOpened               | 00:00:00.0007907 |       444 | 00:00:00.0000017 |    0.00% |
|     ConnectionOpenedAsync          | 00:00:00.0059889 |       490 | 00:00:00.0000122 |    0.00% |
|   DataContextInterceptor           | 00:00:00.0122899 |      5184 | 00:00:00.0000023 |    0.00% |
|     OnClosing                      | 00:00:00.0050010 |      2320 | 00:00:00.0000021 |    0.00% |
|     OnClosingAsync                 | 00:00:00.0029123 |       272 | 00:00:00.0000107 |    0.00% |
|     OnClosed                       | 00:00:00.0022952 |      2320 | 00:00:00.0000009 |    0.00% |
|     OnClosedAsync                  | 00:00:00.0020814 |       272 | 00:00:00.0000076 |    0.00% |
|   EntityServiceInterceptor         | 00:00:00.0157812 |        72 | 00:00:00.0002191 |    0.00% |
|     EntityCreated                  | 00:00:00.0157812 |        72 | 00:00:00.0002191 |    0.00% |
|   UnwrapDataObjectInterceptor      | 00:00:00.0004232 |       610 | 00:00:00.0000006 |    0.00% |
|     UnwrapConnection               | 00:00:00.0001463 |        24 | 00:00:00.0000060 |    0.00% |
|     UnwrapTransaction              | 00:00:00.0000798 |        12 | 00:00:00.0000066 |    0.00% |
|     UnwrapDataReader               | 00:00:00.0001971 |       574 | 00:00:00.0000003 |    0.00% |
| Total                              | 01:51:35.7829702 |  12618984 | 00:00:00.0005306 |  100.00% |
+------------------------------------+------------------+-----------+------------------+----------+

