Count : 90
+------------------------------------+------------------+-----------+------------------+----------+
| Name                               | Elapsed          | CallCount | TimePerCall      | Percent  |
+------------------------------------+------------------+-----------+------------------+----------+
| IQueryProvider.Execute<T>          | 00:01:34.3981958 |     14019 | 00:00:00.0067335 |    3.03% |
| IQueryProvider.GetEnumerator<T>    | 00:05:33.8931989 |     40137 | 00:00:00.0083188 |   10.71% |
| IQueryProvider.GetEnumerator       | 00:00:00.2055714 |        96 | 00:00:00.0021413 |    0.01% |
|   GetQuery                         | 00:02:21.6322278 |     63779 | 00:00:00.0022206 |    4.54% |
|     Find                           | 00:00:07.4290246 |     63779 | 00:00:00.0001164 |    0.24% |
|       Expose                       | 00:00:00.5735396 |     63779 | 00:00:00.0000089 |    0.02% |
|       Find                         | 00:00:02.4761730 |     68858 | 00:00:00.0000359 |    0.08% |
|     Create                         | 00:02:13.3517265 |     23653 | 00:00:00.0056378 |    4.28% |
|       Build                        | 00:02:12.0261080 |     23862 | 00:00:00.0055329 |    4.23% |
|         BuildSequence              | 00:03:24.3874969 |    242922 | 00:00:00.0008413 |    6.55% |
|           Build                    | 00:03:21.0576846 |    207351 | 00:00:00.0009696 |    6.45% |
|         BuildQuery                 | 00:01:51.1712428 |     23776 | 00:00:00.0046757 |    3.57% |
|           FinalizeQuery            | 00:01:01.1188963 |     52222 | 00:00:00.0011703 |    1.96% |
|   GetIEnumerable                   | 00:00:00.1406833 |     53084 | 00:00:00.0000026 |    0.00% |
| Execute                            | 00:18:02.1453919 |    177388 | 00:00:00.0061004 |   34.70% |
|   Execute Query                    | 00:09:15.7306364 |     44487 | 00:00:00.0124919 |   17.82% |
|   Execute Query Async              | 00:00:06.8796855 |      8597 | 00:00:00.0008002 |    0.22% |
|   Execute Element                  | 00:00:08.2082183 |      2496 | 00:00:00.0032885 |    0.26% |
|   Execute Element Async            | 00:00:00.5345966 |       164 | 00:00:00.0032597 |    0.02% |
|   Execute Scalar                   | 00:00:01.3722691 |       674 | 00:00:00.0020360 |    0.04% |
|   Execute Scalar Async             | 00:00:00.1152213 |        24 | 00:00:00.0048008 |    0.00% |
|   Execute NonQuery                 | 00:04:00.0736201 |     59019 | 00:00:00.0040677 |    7.70% |
